48756220 function calls (48441777 primitive calls) in 1809.791 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 _print_helpers.py:27(__str__)
      291    0.000    0.000    0.000    0.000 parse_tree_builder.py:158(_should_expand)
      256    0.000    0.000    0.000    0.000 lexer.py:111(max_width)
      737    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      343    0.000    0.000    0.000    0.000 lexer.py:88(max_width)
      168    0.000    0.000    0.000    0.000 _parser.py:304(checkgroupname)
        6    0.000    0.000    0.000    0.000 printer.py:371(__call__)
      494    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        6    0.000    0.000    0.000    0.000 str.py:980(sstr)
        1    0.000    0.000    0.000    0.000 load_grammar.py:1389(verify_used_files)
       32    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
        6    0.000    0.000    0.000    0.000 symbol.py:285(__new__)
      771    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
       84    0.000    0.000    0.000    0.000 {method '__reduce_ex__' of 'object' objects}
        1    0.000    0.000    0.000    0.000 pkgutil.py:600(get_data)
        1    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       33    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        1    0.000    0.000    0.000    0.000 lark.py:517(_deserialize_lexer_conf)
      686    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       29    0.000    0.000    0.000    0.000 random.py:376(shuffle)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 typing.py:1586(__getitem__)
        1    0.000    0.000    0.000    0.000 tempfile.py:154(__next__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       81    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
        5    0.000    0.000    0.000    0.000 sympify.py:500(_sympify)
        2    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 {built-in method posix.stat}
        2    0.000    0.000    0.000    0.000 lark.py:191(__init__)
        2    0.000    0.000    0.000    0.000 mul.py:467(_gather)
        1    0.000    0.000    0.000    0.000 {built-in method pytket._tket.passes.DecomposeBoxes}
      123    0.000    0.000    0.000    0.000 parse_tree_builder.py:187(<listcomp>)
       84    0.000    0.000    0.000    0.000 copyreg.py:104(__newobj__)
        1    0.000    0.000    0.000    0.000 _entry_point.py:10(entry_point)
        6    0.000    0.000    0.000    0.000 printer.py:290(doprint)
        2    0.000    0.000    0.000    0.000 numbers.py:2249(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
        5    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      237    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       33    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       33    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      221    0.000    0.000    0.000    0.000 lexer.py:335(<lambda>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      168    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 numbers.py:3430(__eq__)
        1    0.000    0.000    0.000    0.000 symbol.py:344(__xnew_cached_)
      424    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       37    0.000    0.000    0.000    0.000 lexer.py:364(<setcomp>)
        1    0.000    0.000    0.000    0.000 parser_frontends.py:127(_get_lexer_callbacks)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1424(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 cProfile.py:41(print_stats)
        8    0.000    0.000    0.000    0.000 qasm.py:319(_reset_context)
        2    0.000    0.000    0.000    0.000 numbers.py:1878(__eq__)
        6    0.000    0.000    0.000    0.000 {built-in method pytket._tket.circuit.rename_units}
      256    0.000    0.000    0.000    0.000 lexer.py:102(_get_width)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 symbol.py:298(__xnew__)
        5    0.000    0.000    0.000    0.000 sympify.py:99(sympify)
       81    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
        6    0.000    0.000    0.000    0.000 printer.py:258(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method posix.unlink}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1411(_path_hooks)
        6    0.000    0.000    0.000    0.000 printer.py:294(_print)
        1    0.000    0.000    0.000    0.000 tempfile.py:143(rng)
